system   D            wsystem.c:583  maybe_parent_dir                 [   0.00066] Also searching C:\Users\Konrad\Documents\KCK\Github\KCK__sroda_10_gr3\KCK\
display  D   display_settings.c:506  _al_score_display_settings       [   0.57564] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.57565] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57567] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.57568] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57570] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.57571] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57573] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.57574] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57576] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.57577] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57579] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.57580] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.57582] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.57583] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.57585] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.57586] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57588] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.57589] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57591] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.57592] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57594] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.57596] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57598] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.57600] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57603] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.57604] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57607] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.57609] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57612] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.57613] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.57616] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.57618] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.57620] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.57622] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57625] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.57627] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57629] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.57631] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57634] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.57636] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57638] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.57640] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57643] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.57645] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57647] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.57649] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57652] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.57654] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.57655] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.57657] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.57659] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.57660] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57662] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.57663] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57665] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.57666] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57675] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.57676] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57678] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.57679] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57685] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.57687] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57689] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.57690] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57691] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.57693] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.57694] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.57696] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.57697] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.57699] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57700] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.57702] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57703] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.57704] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57706] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.57707] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57709] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.57710] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57712] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.57713] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57715] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.57716] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57718] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.57719] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.57721] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57722] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.57724] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57725] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57727] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57728] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57730] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57731] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57733] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57735] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57736] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57737] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57739] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57741] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57742] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57744] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57746] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57747] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.57749] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57750] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.57752] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57753] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57755] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57756] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57758] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57759] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57761] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57762] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57764] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57765] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57767] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57768] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57770] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57771] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57773] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57774] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.57776] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57777] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.57779] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57781] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57782] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57784] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57785] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57787] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57788] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57790] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57791] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57793] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57794] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57796] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57797] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57799] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57800] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57802] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.57803] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57805] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.57806] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57808] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57809] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57811] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57812] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57814] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57815] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57817] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57818] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57820] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57821] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57823] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57825] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57826] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57828] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57829] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.57831] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57832] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.57834] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57835] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57837] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57838] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57840] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57841] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57843] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57844] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57846] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57848] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57849] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57851] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57852] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57854] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57855] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57857] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.57858] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57860] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.57861] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57863] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57865] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57866] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57868] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57869] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57875] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.57876] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.57878] Single Buffer requirement not met.
